year,state,state_code,county,county_code,race,ethnicity,deaths,population,crude_rate,age_adjusted_rate
2021 (provisional),Hawaii,15,"Hawaii County, HI",15001,More than one race,Not Hispanic or Latino,418.0,48965.0,853.7,974.1
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Asian,Hispanic or Latino,13.0,11909.0,Unreliable,Unreliable
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Asian,Not Hispanic or Latino,4530.0,397745.0,1138.9,484.4
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Asian,Not Stated,64.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Black or African American,Not Hispanic or Latino,76.0,24332.0,312.3,582.4
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,735.0,89607.0,820.2,785.3
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Stated,22.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,White,Hispanic or Latino,144.0,35492.0,405.7,804.4
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,White,Not Hispanic or Latino,1483.0,169501.0,874.9,641.5
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,White,Not Stated,53.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,More than one race,Hispanic or Latino,218.0,40134.0,543.2,1472.1
2021 (provisional),Hawaii,15,"Honolulu County, HI",15003,More than one race,Not Hispanic or Latino,1411.0,182769.0,772.0,916.9
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,Asian,Not Hispanic or Latino,226.0,20857.0,1083.6,442.9
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,41.0,6109.0,671.1,577.6
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,White,Hispanic or Latino,19.0,2595.0,Unreliable,Unreliable
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,White,Not Hispanic or Latino,199.0,20915.0,951.5,550.7
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,More than one race,Hispanic or Latino,13.0,3842.0,Unreliable,Unreliable
2021 (provisional),Hawaii,15,"Kauai County, HI",15007,More than one race,Not Hispanic or Latino,86.0,15032.0,572.1,770.6
2021 (provisional),Hawaii,15,"Maui County, HI",15009,Asian,Not Hispanic or Latino,422.0,46349.0,910.5,467.8
2021 (provisional),Hawaii,15,"Maui County, HI",15009,Asian,Not Stated,13.0,Not Applicable,Not Applicable,Not Applicable
2021 (provisional),Hawaii,15,"Maui County, HI",15009,Black or African American,Not Hispanic or Latino,11.0,1186.0,Unreliable,Unreliable
2021 (provisional),Hawaii,15,"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,116.0,16404.0,707.1,677.8
2021 (provisional),Hawaii,15,"Maui County, HI",15009,White,Hispanic or Latino,40.0,7996.0,500.3,679.8
2021 (provisional),Hawaii,15,"Maui County, HI",15009,White,Not Hispanic or Latino,528.0,49962.0,1056.8,640.1
2021 (provisional),Hawaii,15,"Maui County, HI",15009,More than one race,Hispanic or Latino,40.0,7908.0,505.8,9044.8
2021 (provisional),Hawaii,15,"Maui County, HI",15009,More than one race,Not Hispanic or Latino,202.0,33594.0,601.3,797.7
2022 (provisional and partial),Hawaii,15,"Hawaii County, HI",15001,Asian,Not Hispanic or Latino,69.0,40086.0,172.1,68.8
2022 (provisional and partial),Hawaii,15,"Hawaii County, HI",15001,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,24.0,24195.0,99.2,92.2
2022 (provisional and partial),Hawaii,15,"Hawaii County, HI",15001,White,Not Hispanic or Latino,118.0,60606.0,194.7,96.2
2022 (provisional and partial),Hawaii,15,"Hawaii County, HI",15001,More than one race,Not Hispanic or Latino,44.0,48965.0,89.9,103.1
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,Asian,Not Hispanic or Latino,619.0,397745.0,155.6,64.3
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,Asian,Not Stated,10.0,Not Applicable,Not Applicable,Not Applicable
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,Black or African American,Not Hispanic or Latino,11.0,24332.0,Unreliable,Unreliable
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,105.0,89607.0,117.2,112.3
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,White,Hispanic or Latino,27.0,35492.0,76.1,148.5
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,White,Not Hispanic or Latino,191.0,169501.0,112.7,82.2
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,More than one race,Hispanic or Latino,28.0,40134.0,69.8,172.2
2022 (provisional and partial),Hawaii,15,"Honolulu County, HI",15003,More than one race,Not Hispanic or Latino,171.0,182769.0,93.6,111.2
2022 (provisional and partial),Hawaii,15,"Kauai County, HI",15007,Asian,Not Hispanic or Latino,39.0,20857.0,187.0,91.9
2022 (provisional and partial),Hawaii,15,"Kauai County, HI",15007,White,Not Hispanic or Latino,27.0,20915.0,129.1,72.9
2022 (provisional and partial),Hawaii,15,"Kauai County, HI",15007,More than one race,Not Hispanic or Latino,13.0,15032.0,Unreliable,Unreliable
2022 (provisional and partial),Hawaii,15,"Maui County, HI",15009,Asian,Not Hispanic or Latino,59.0,46349.0,127.3,60.8
2022 (provisional and partial),Hawaii,15,"Maui County, HI",15009,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,11.0,16404.0,Unreliable,Unreliable
2022 (provisional and partial),Hawaii,15,"Maui County, HI",15009,White,Not Hispanic or Latino,72.0,49962.0,144.1,87.0
2022 (provisional and partial),Hawaii,15,"Maui County, HI",15009,More than one race,Not Hispanic or Latino,39.0,33594.0,116.1,154.2
