"cs_code","year","state","cs_name","total_deaths","population","total_deaths_lag1","pop_lag1","covid_deaths","num_counties","death_offset","death_offset_lag1","total_death_rate","death_rate_lag1","time","time_orig_vals","fitted_deaths","fitted_death_rate","pred_deaths_lwr_ci","pred_deaths_upr_ci","pred_death_rate_lwr_ci","pred_death_rate_upr_ci","pred_death_std_err","pred_death_rate_std_err","covid_deaths_2020","covid_excess_ratio"
"48CS021",2016,"TX","Chambers+Liberty",1110,121517,1059,118565,0,2,121.517,118.565,9.13452438753425,8.93180955593978,18,18,1075.59252157566,8.8513748823264,995.975,1154,8.19617831249949,9.49661364253561,41.0389053308047,0.337721514938689,135,4.0218207676326
"48CS021",2017,"TX","Chambers+Liberty",1143,124866,1110,121517,0,2,124.866,121.517,9.15381288741531,9.13452438753425,19,19,1108.01249731093,8.87361249107787,1028,1194.025,8.23282558903144,9.56245094741563,42.5343844184662,0.340640241686818,135,4.0218207676326
"48CS021",2018,"TX","Chambers+Liberty",1144,128029,1143,124866,0,2,128.029,124.866,8.93547555631927,9.15381288741531,20,20,1142.04080442718,8.92017280793556,1057.975,1219,8.26355747525951,9.52128033492412,40.7451248764954,0.318249184766696,135,4.0218207676326
"48CS021",2019,"TX","Chambers+Liberty",1121,132056,1144,128029,0,2,132.056,128.029,8.48882292360816,8.93547555631927,21,21,1188.3295076101,8.99867864852862,1108.975,1271,8.39776307021264,9.62470467074574,42.2441077623926,0.319895406209431,135,4.0218207676326
"48CS021",2020,"TX","Chambers+Liberty",1274,136181,1121,132056,135,2,136.181,132.056,9.35519639303574,8.48882292360816,22,22,1240.43311380595,9.10870909896349,1155.975,1330.025,8.48851895638892,9.76659739611253,44.2649732729938,0.325045147803246,135,4.0218207676326
"48CS022",2011,"TX","Cherokee",506,51090,514,50941,0,1,51.09,50.941,9.90409082012135,10.0901042382364,13,13,498.954943483145,9.76619580119681,446.95,550,8.7482873360736,10.7653161088276,26.1159533239363,0.511175441846472,102,1.201016848698
"48CS022",2012,"TX","Cherokee",526,51277,506,51090,0,1,51.277,51.09,10.2580104140258,9.90409082012135,14,14,510.586693512781,9.95742132950019,458,560.025,8.93187979015933,10.9215632739825,26.3519245583302,0.513913149332649,102,1.201016848698
"48CS022",2013,"TX","Cherokee",474,51093,526,51277,0,1,51.093,51.277,9.27720039927192,10.2580104140258,15,15,514.573269505494,10.0713066272385,463,566,9.06190671912004,11.0778384514513,27.4388995626503,0.537038333287344,102,1.201016848698
"48CS022",2014,"TX","Cherokee",512,51189,474,51093,0,1,51.189,51.093,10.0021488991776,9.27720039927192,16,16,531.875874233605,10.3904329882124,477,585,9.31840825177284,11.4282365351931,27.8827744873625,0.544702465126541,102,1.201016848698
"48CS022",2015,"TX","Cherokee",560,51568,512,51189,0,1,51.568,51.189,10.859447719516,10.0021488991776,17,17,538.964007637718,10.4515204707904,486,594.05,9.42444927086565,11.5197409246044,27.5179386573186,0.533624314639284,102,1.201016848698
"48CS022",2016,"TX","Cherokee",553,51879,560,51568,0,1,51.879,51.568,10.6594190327493,10.859447719516,18,18,544.33123159127,10.4923231286507,488.975,598,9.42529732647121,11.526822028181,27.8387498820438,0.536609223039068,102,1.201016848698
"48CS022",2017,"TX","Cherokee",590,52116,553,51879,0,1,52.116,51.879,11.3208995318136,10.6594190327493,19,19,557.640857522105,10.699993428546,501,616,9.61317061938752,11.8197866298258,29.1186202462453,0.558727075106403,102,1.201016848698
"48CS022",2018,"TX","Cherokee",568,52381,590,52116,0,1,52.381,52.116,10.8436265057941,11.3208995318136,20,20,564.303168977457,10.7730507049781,509,619,9.71726389339646,11.8172619843073,28.2145255223342,0.538640452116879,102,1.201016848698
"48CS022",2019,"TX","Cherokee",553,52646,568,52381,0,1,52.646,52.381,10.5041218706075,10.8436265057941,21,21,580.76995353689,11.0316064570317,524,639.05,9.95327280325191,12.1386240170193,30.2357011101384,0.574320957150369,102,1.201016848698
"48CS022",2020,"TX","Cherokee",687,53407,553,52646,102,1,53.407,52.646,12.8634823150523,10.5041218706075,22,22,602.071965800833,11.2732781433301,544.975,660,10.204186717097,12.3579306083472,29.2417406355264,0.547526366122913,102,1.201016848698
"48CS023",2011,"TX","Clay+Cooke+Montague",784,68870,762,68927,0,3,68.87,68.927,11.3837665166255,11.0551743148548,13,13,794.48479755188,11.536006934106,727.975,860,10.5702773341077,12.4872949034413,34.5404783499685,0.501531557281378,103,0.652758014163245
"48CS023",2012,"TX","Clay+Cooke+Montague",808,68717,784,68870,0,3,68.717,68.87,11.7583712909469,11.3837665166255,14,14,793.646862724694,11.5494981260051,728.975,863,10.6083647423491,12.5587554753554,34.0598271843506,0.495653581855299,103,0.652758014163245
"48CS023",2013,"TX","Clay+Cooke+Montague",802,68298,808,68717,0,3,68.298,68.717,11.7426571788339,11.7583712909469,15,15,789.190640567432,11.5551061607577,727.975,861,10.6588040645407,12.6065184924888,34.5245429088216,0.505498593060142,103,0.652758014163245
"48CS023",2014,"TX","Clay+Cooke+Montague",804,68506,802,68298,0,3,68.506,68.298,11.7361982892009,11.7426571788339,16,16,796.582756076089,11.6279268396358,729.975,868.025,10.6556360026859,12.6707879601787,35.2340475833974,0.514320608171508,103,0.652758014163245
"48CS023",2015,"TX","Clay+Cooke+Montague",807,68781,804,68506,0,3,68.781,68.506,11.7328913508091,11.7361982892009,17,17,804.710061934148,11.6995981729569,734.9,869,10.6846367456129,12.6343030778849,34.605411216824,0.503124572437504,103,0.652758014163245
"48CS023",2016,"TX","Clay+Cooke+Montague",784,68984,807,68781,0,3,68.984,68.781,11.3649541922765,11.7328913508091,18,18,812.021717605366,11.771160234335,746.975,884.025,10.8282355328772,12.8149280992694,35.292948633165,0.511610643528427,103,0.652758014163245
"48CS023",2017,"TX","Clay+Cooke+Montague",827,69815,784,68984,0,3,69.815,68.984,11.8455919215068,11.3649541922765,19,19,831.319893704813,11.9074682189331,765.95,896,10.9711380075915,12.8339182124185,34.8155039503282,0.498682288194917,103,0.652758014163245
"48CS023",2018,"TX","Clay+Cooke+Montague",792,70536,827,69815,0,3,70.536,69.815,11.228308948622,11.8455919215068,20,20,838.990768765733,11.8945044908378,769.975,910,10.9160570488828,12.9012135647045,35.9250662544328,0.509315331950107,103,0.652758014163245
"48CS023",2019,"TX","Clay+Cooke+Montague",917,71546,792,70536,0,3,71.546,70.536,12.8169289687753,11.228308948622,21,21,864.052501070431,12.0768806232414,793,941,11.0837782685265,13.1523774914041,36.6352414474904,0.512051567487915,103,0.652758014163245
"48CS023",2020,"TX","Clay+Cooke+Montague",1013,72067,917,71546,103,3,72.067,71.546,14.0563642166317,12.8169289687753,22,22,855.207988618825,11.8668459713714,780.95,929,10.836443864737,12.8907821887965,37.2618762600922,0.517044920145035,103,0.652758014163245
"48CS024",2011,"TX","Collin",3280,812540,3093,787614,0,1,812.54,787.614,4.03672434587836,3.92705056029984,13,13,3274.85685326954,4.03039463074992,3131,3409,3.85334875821498,4.19548576070101,70.1372959007993,0.0863185761941557,483,0.927993985879564
"48CS024",2012,"TX","Collin",3398,835230,3280,812540,0,1,835.23,812.54,4.0683404571196,4.03672434587836,14,14,3434.33987135721,4.11184927667494,3308,3576,3.96058570693102,4.28145540749255,67.5850316305356,0.0809178688870558,483,0.927993985879564
"48CS024",2013,"TX","Collin",3597,856398,3398,835230,0,1,856.398,835.23,4.20014993028942,4.0683404571196,15,15,3596.7140535851,4.19981603598456,3458,3750.025,4.03784221822097,4.37883437373744,75.4994028839688,0.0881592470836793,483,0.927993985879564
"48CS024",2014,"TX","Collin",3822,884688,3597,856398,0,1,884.688,856.398,4.32016710976073,4.20014993028942,16,16,3789.3720363005,4.28328635213827,3638.925,3939,4.11322974879279,4.45241712332483,76.057247017124,0.0859707004244706,483,0.927993985879564
"48CS024",2015,"TX","Collin",4010,915243,3822,884688,0,1,915.243,884.688,4.38135008953906,4.32016710976073,17,17,3998.86208902827,4.36918074110184,3853.975,4156.025,4.21087623723973,4.54089788176473,77.5484575169827,0.0847299105450494,483,0.927993985879564
"48CS024",2016,"TX","Collin",4208,943742,4010,915243,0,1,943.742,915.243,4.45884574385796,4.38135008953906,18,18,4209.74384539211,4.46069354271836,4055.975,4367.025,4.29775828563315,4.62735048350079,80.109383272425,0.0848848342793105,483,0.927993985879564
"48CS024",2017,"TX","Collin",4411,971864,4208,943742,0,1,971.864,943.742,4.53870088819012,4.45884574385796,19,19,4424.91613683,4.55301990487352,4260,4589.15,4.38332935472453,4.72200842916293,83.7622982110782,0.0861872630440867,483,0.927993985879564
"48CS024",2018,"TX","Collin",4704,1004307,4411,971864,0,1,1004.307,971.864,4.68382675815264,4.53870088819012,20,20,4667.10940538262,4.64709436993132,4503.95,4834.025,4.48463467843996,4.81329414212985,84.5659127402856,0.0842032493453552,483,0.927993985879564
"48CS024",2019,"TX","Collin",4869,1034730,4704,1004307,0,1,1034.73,1004.307,4.70557536748717,4.68382675815264,21,21,4903.08570885519,4.73851701299391,4742.975,5071,4.58378030983928,4.90079537657167,84.1059296268604,0.0812829720089883,483,0.927993985879564
"48CS024",2020,"TX","Collin",5721,1074355,4869,1034730,483,1,1074.355,1034.73,5.32505549841533,4.70557536748717,22,22,5200.52248899307,4.84059969841725,5024.975,5378,4.67720166983911,5.00579417417893,90.3521219725632,0.0840989449228265,483,0.927993985879564
"48CS025",2011,"TX","Comal",970,112113,976,109306,0,1,112.113,109.306,8.65198505079696,8.9290615336761,13,13,971.530636762785,8.66563767594111,895.975,1047,7.99171371741011,9.33879211153033,38.7446373311446,0.345585590708879,150,0.82904606304666
"48CS025",2012,"TX","Comal",1082,114873,970,112113,0,1,114.873,112.113,9.41909761214559,8.65198505079696,14,14,999.269858265195,8.69890973740735,922,1072,8.02625508169892,9.33204495399267,38.4572845861189,0.334780884856484,150,0.82904606304666
"48CS025",2013,"TX","Comal",1001,118627,1082,114873,0,1,118.627,114.873,8.43821389734209,9.41909761214559,15,15,1019.94731576607,8.59793567877522,943,1102.025,7.94928641877482,9.28983283738104,39.9285753581333,0.336589270217853,150,0.82904606304666
"48CS025",2014,"TX","Comal",990,123214,1001,118627,0,1,123.214,118.627,8.03480124011882,8.43821389734209,16,16,1074.62773066649,8.72163658891432,995.975,1160.025,8.08329410618923,9.41471748340286,41.6117119759999,0.337719025240637,150,0.82904606304666
"48CS025",2015,"TX","Comal",1109,128795,990,123214,0,1,128.795,123.214,8.61058270895609,8.03480124011882,17,17,1129.7338603696,8.77156613509532,1048.975,1210,8.14453200823013,9.39477464187275,41.1397156067005,0.319420129715443,150,0.82904606304666
"48CS025",2016,"TX","Comal",1152,134343,1109,128795,0,1,134.343,128.795,8.57506531788035,8.61058270895609,18,18,1168.03436669257,8.69441926034533,1085,1252.025,8.07634190095502,9.31961471755134,42.8671345231078,0.31908722094272,150,0.82904606304666
"48CS025",2017,"TX","Comal",1240,140721,1152,134343,0,1,140.721,134.343,8.81176228139368,8.57506531788035,19,19,1223.78676989627,8.69654685438758,1143.975,1314.025,8.1293836740785,9.33780317081317,43.0850356306606,0.306173461179644,150,0.82904606304666
"48CS025",2018,"TX","Comal",1352,148141,1240,140721,0,1,148.141,140.721,9.12644035074692,8.81176228139368,20,20,1283.43126877558,8.66357908192585,1198.975,1369.025,8.09347176001242,9.24136464584416,43.2184505213394,0.291738617407331,150,0.82904606304666
"48CS025",2019,"TX","Comal",1321,156209,1352,148141,0,1,156.209,148.141,8.45661901683002,9.12644035074692,21,21,1346.63819280738,8.62074651785352,1257.975,1438,8.05315314738587,9.20561555352124,44.7908930822227,0.286736955503349,150,0.82904606304666
"48CS025",2020,"TX","Comal",1614,164636,1321,156209,150,1,164.636,156.209,9.80344517602468,8.45661901683002,22,22,1433.0691607065,8.70447022951545,1340,1530.025,8.13916761826089,9.29338054860419,48.8070003922315,0.296453997863356,150,0.82904606304666
"48CS026",2011,"TX","Comanche+Erath+Somervell",527,61215,544,60365,0,3,61.215,60.365,8.60900106183125,9.01184461194401,13,13,538.756101201925,8.80104714860614,484,595,7.90655884995508,9.71983990851915,28.2956305232223,0.462233611422401,90,1.82876365425517
"48CS026",2012,"TX","Comanche+Erath+Somervell",525,61682,527,61215,0,3,61.682,61.215,8.51139716611005,8.60900106183125,14,14,554.210385103314,8.98496133561354,498,610,8.07366816899582,9.88943289776596,27.9276552708767,0.45276831605455,90,1.82876365425517
"48CS026",2013,"TX","Comanche+Erath+Somervell",577,62006,525,61682,0,3,62.006,61.682,9.30555107570235,8.51139716611005,15,15,566.191080869159,9.13123054009546,510.975,625,8.24073476760313,10.079669709383,29.704049126921,0.479051206769038,90,1.82876365425517
"48CS026",2014,"TX","Comanche+Erath+Somervell",577,62545,577,62006,0,3,62.545,62.006,9.22535774242545,9.30555107570235,16,16,572.773923391955,9.1577891660717,515.975,629,8.24966024462387,10.0567591334239,28.7572211586719,0.459784493703285,90,1.82876365425517
"48CS026",2015,"TX","Comanche+Erath+Somervell",608,63204,577,62545,0,3,63.204,62.545,9.61964432630846,9.22535774242545,17,17,588.079450230296,9.30446570201722,534.975,649,8.4642585912284,10.268337446997,29.3275310771139,0.464013845280581,90,1.82876365425517
"48CS026",2016,"TX","Comanche+Erath+Somervell",611,63586,608,63204,0,3,63.586,63.204,9.60903343503287,9.61964432630846,18,18,596.888742993737,9.38710947368504,538.975,652.025,8.47631554115686,10.2542226276224,29.0969722272403,0.457600292945622,90,1.82876365425517
"48CS026",2017,"TX","Comanche+Erath+Somervell",662,64111,611,63586,0,3,64.111,63.586,10.3258411193087,9.60903343503287,19,19,610.824476429322,9.52760799908475,548.975,668,8.56288312458081,10.4194288031695,30.4603949360421,0.475119635258257,90,1.82876365425517
"48CS026",2018,"TX","Comanche+Erath+Somervell",608,64793,662,64111,0,3,64.793,64.111,9.38372972388992,10.3258411193087,20,20,619.829409729199,9.56630206548855,561,680.025,8.65834272220765,10.495346719553,30.701089441466,0.473833430177117,90,1.82876365425517
"48CS026",2019,"TX","Comanche+Erath+Somervell",597,65461,608,64793,0,3,65.461,64.793,9.11993400650769,9.38372972388992,21,21,644.446430053564,9.84473854743381,586,704.025,8.95189502146316,10.7548769496341,30.1827438949647,0.461079786360806,90,1.82876365425517
"48CS026",2020,"TX","Comanche+Erath+Somervell",716,66481,597,65461,90,3,66.481,65.461,10.7699944345001,9.11993400650769,22,22,666.786423499511,10.0297291481703,606,728,9.1153863509875,10.9504971345196,30.978674960403,0.465977872781743,90,1.82876365425517
"48CS027",2011,"TX","Coryell",397,76625,408,75651,0,1,76.625,75.651,5.1810766721044,5.39318713566245,13,13,387.773549033058,5.06066621902849,344,431,4.48939641109299,5.62479608482871,21.9410127168059,0.286342743449343,44,0.738406470309235
"48CS027",2012,"TX","Coryell",393,78458,397,76625,0,1,78.458,76.625,5.00904942771929,5.1810766721044,14,14,416.434107896468,5.30773290036029,371,463.025,4.72864462514976,5.90156516862525,23.7298019271021,0.302452292017412,44,0.738406470309235
"48CS027",2013,"TX","Coryell",399,76761,393,78458,0,1,76.761,78.458,5.19795208504319,5.00904942771929,15,15,427.063560228769,5.56354868004285,377.975,475.025,4.92404997329373,6.18836388270085,25.4021548982261,0.33092527322763,44,0.738406470309235
